start-date-time,venue-name,event-name,city,tags,duration,venue-address
2019-03-17T12:00:00Z,mars bar,danceflo,san francisco,"house, disco, funk",WIP,798 brannan st
2019-03-17T12:00:00Z,tba,"fisher - san francisco block party catch & release w/tensnake, waze & odyssey, martin ikin, david harness, ney x miss mak, torie, invisible child b2b mntra",san francisco,"funky house, tech house, bass house",WIP,no match
2019-03-17T13:00:00Z,the great northern,daft brunch sf: st. patrick's day,san francisco,"funky house, disco",WIP,119 utah st
2019-03-17T19:00:00Z,public works,"kokoko! (live), vague terrain (dj cz, yaniv), sep",san francisco,"gqom, afrobeats, club music",WIP,161 erie st
2019-03-19T20:00:00Z,envelop at the midway,tipper - surrounded : listen,san francisco,"experimental, glitch, ambient, IDM ",WIP,900 marin st
2019-03-20T21:00:00Z,motiv (santa cruz),"ahee, kowta, junglebandit, highend",,"bass music, glitch-hop, dubstep, trap",WIP,1209 pacific ave
2019-03-21T21:00:00Z,the continental bar lounge & patio,pat lok + party pupils / party lok tour,san jose,house,WIP,no match
2019-03-22T02:00:00Z,tba,riva starr,san francisco,"deep house, tech house",WIP,no match
2019-03-22T13:00:00Z,gray area foundation for the arts,"algorithmic art assembly: mark fell, w00dy, renick bell, kindohm, algobabez, kit clayton, tvo, shatter pattern, william fields, spednar, sebastian camens, digital selves, spatial, vou, wobbly, charlie roberts",san francisco,"experimental, live a/v",WIP,no match
2019-03-22T20:00:00Z,the rink studios,genesis ft riot + more,sacramento,"dubstep, hip-hop, glitch",WIP,no match
2019-03-22T20:00:00Z,phonobar,maayan nidam,san francisco,"tech house, minimal",WIP,370 grove st
2019-03-22T20:30:00Z,the independent,classixx (dj set),san francisco,"synthpop, pop EDM, nu-disco",WIP,628 divisadero st
2019-03-22T21:00:00Z,brix 581,"frisky: heavy petting zoo spring fundraiser w/dulce vita, nugz, captain jay, afterschool special, backcheck, nick stene, tyme, neon bunny, carlos alfonzo, sonny daze, b33son, b funky",oakland,"tech house, electro house, funky house",WIP,581 5th st
2019-03-22T21:00:00Z,f8 1192 folsom,"erika, deraout",san francisco,techno,WIP,1192 folsom
2019-03-22T21:30:00Z,audio,hotel garuda,san francisco,"house, breaks, hip-hop",WIP,316 11th st
2019-03-22T21:30:00Z,monarch,"gcode w/ney x miss mak, avn",san francisco,"tech house, funky house",WIP,101 6th st
2019-03-22T21:30:00Z,the great northern,"mark farina 50th birthday: diz, jt donaldson , j-dub, mike cashen, kid enigma",san francisco,"deep house, jackin house",WIP,119 utah st
2019-03-22T21:30:00Z,the midway,carl cox & joseph capriati,san francisco,techno,WIP,900 marin st
